FINESS_Etab;Nom_court;Code_postal;Commune;Public_ou_prive;Lat;Long
260023890;PUI HAD DU CH DE CREST - VALENCE;26000;VALENCE;Public;44.890175;4.891180
270000045;CH BERNAY;27303;BERNAY;Public;49.090228;0.598916
270000359;CH EURE SEINE EVREUX;27015;EVREUX;Public;49.031329;1.116641
270000367;CH GISORS;27140;GISORS;Public;49.279234;1.764129
270000391;CH LOUVIERS CHI ELBEUF;27406;LOUVIERS;Public;49.216109;1.158099
270000425;CH PONT-AUDEMER;27504;PONT AUDEMER;Public;49.345939;0.518931
270000441;CH VERNEUIL-SUR-AVRE;27137;VERNEUIL SUR AVRE;Public;48.746327;0.898483
270000458;CH VERNON CH EURE-SEINE;27207;VERNON;Public;49.089623;1.494472
270000474;CENTRE HOSPITALIER SAINT JACQUES;27700;LES ANDELYS;Public;49.259983;1.420250
270000482;CH BOURG ACHARD;27310;BOURG ACHARD;Public;49.349646;0.814699
270000516;HL LE NEUBOURG;27110;LE NEUBOURG;Public;49.149772;0.905336
270028087;CEGIDD EVREUX - CHES;27015;EVREUX;Public;49.020599;1.146898
270028095;CEGIDD ANTENNE VERNON - CHES;27207;VERNON;Public;49.089623;1.494472
270028103;CEGIDD ANTENNE BERNAY - CHES;27303;BERNAY;Public;49.089387;0.595349
270028111;CEGIDD ANTENNE GISORS - CHES;27140;GISORS;Public;49.279234;1.764129
270028129;CEGIDD ANTENNE LOUVIERS - CHES;27400;LOUVIERS;Public;49.210556;1.173991
270029416;HAD CH DE LA RISLE PONT AUDEMER;27500;PONT AUDEMER;Public;49.349644;0.514420
280000043;CH CHARTRES - HÔTEL DIEU;28018;CHARTRES;Public;48.446525;1.502286
280000084;CH DREUX;28102;DREUX;Public;48.637657;1.590956
280000100;CH DE LA LOUPE;28240;LA LOUPE;Public;48.467281;1.011768
280000662;CH CHATEAUDUN;28205;CHATEAUDUN;Public;48.173151;1.106225
280000696;CH CHARTRES - VAL DE L'EURE;28000;CHARTRES;Public;48.437399;1.493249
280011024;HJ ENFANTS ADOS DREUX;28100;DREUX;Public;48.727586;1.377892
280011057;HJ ENFANTS ADOS AUTISME CEDRA;28100;DREUX;Public;48.727586;1.377892
280502998;CH NOGENT LE ROTROU - NOUVEL HÔPITAL;28401;NOGENT LE ROTROU;Public;48.317471;0.808165
280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;28630;LE COUDRAY;Public;48.424534;1.509596
290000025;CHIC QUIMPER;29107;QUIMPER;Public;47.935379;-4.154568
290000033;C.H. DES PAYS DE MORLAIX;29672;MORLAIX;Public;48.595154;-3.820202
290000058;CHRU BREST SITE HOPITAL MORVAN;29609;BREST;Public;48.406435;-4.497736
290000066;CHIC SITE DE CONCARNEAU;29900;CONCARNEAU;Public;47.866184;-3.902325
290000173;CH FERDINAND GRALL LANDERNEAU;29207;LANDERNEAU;Public;48.450764;-4.260420
290000181;CENTRE HOSPITALIER DOUARNENEZ;29177;DOUARNENEZ;Public;48.084061;-4.316414
290000256;CHRU BREST SITE HOPITAL DE CARHAIX;29835;CARHAIX PLOUGUER;Public;48.266001;-3.570037
290000272;CENTRE HOSPITALIER CROZON;29160;CROZON;Public;48.246420;-4.485718
290000322;CENTRE HOSPITALIER LESNEVEN;29260;LESNEVEN;Public;48.571431;-4.319809
290000389;CENTRE HOSPITALIER LANMEUR;29620;LANMEUR;Public;48.649434;-3.715094
290000553;CH MORLAIX SITE DE PLOUGONVEN;29640;PLOUGONVEN;Public;48.522035;-3.711034
290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;29123;PONT L ABBE;ESPIC;47.865493;-4.215555
290000934;GHBS - HOPITAL LA VILLENEUVE;29391;QUIMPERLE;Public;47.861737;-3.559902
290001015;CENTRE HOSPITALIER ST RENAN;29290;ST RENAN;Public;48.428952;-4.619309
290003995;GHBS - HOPITAL KERGLANCHARD;29300;QUIMPERLE;Public;47.876600;-3.561281
290004159;CENTRE DE POST CURE ROZ-AR-SCOUR;29640;PLOUGONVEN;Public;48.522035;-3.711034
290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;29609;BREST;Public;48.406435;-4.497736
290004340;CHRU BREST SITE HOPITAL BOHARS;29820;BOHARS;Public;48.441298;-4.510688
290004365;CHU BREST SITE GUILERS;29820;GUILERS;Public;48.422246;-4.558519
290006121;"""FOYER DE POST-CURE""""AN AVEL VOR""""""";29200;BREST;Public;48.397947;-4.486431
290008796;CENTRE PSYCHOTHERAPIQUE WINNICOTT;29200;BREST;Public;48.399989;-4.460613
290016690;HOP DE JOUR CMP POUR ENFANTS - CARHAIX;29270;CARHAIX PLOUGUER;Public;48.278414;-3.562669
290016708;HOP DE JOUR ENFANTS LE FOLGOET;29260;LE FOLGOET;Public;48.560747;-4.340995
290016716;HOP DE JOUR MORLAIX;29600;MORLAIX;Public;48.586131;-3.812904
290016724;HOP DE JOUR CMP CATTP ST POL DE LEON;29250;ST POL DE LEON;Public;48.684149;-3.993453
290016740;HOP DE JOUR LANDIVISIAU;29400;LANDIVISIAU;Public;48.506574;-4.069682
290024082;HOP DE JOUR TY GUEN LESNEVEN;29260;LESNEVEN;Public;48.571431;-4.319809
290024140;HOPITAL DE JOUR JEAN BART;29600;ST MARTIN DES CHAMPS;Public;48.576900;-3.855414
